s_id,Name,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,specialisation,mba_p
1,Rick Hansen,M,67,Others,91,Others,Commerce,58,Sci&Tech,Mkt&HR,58.8
2,Justin Ritter,M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,Mkt&Fin,66.28
3,Craig Reiter,M,65,Central,68,Central,Arts,64,Comm&Mgmt,Mkt&Fin,57.8
4,Katherine Murray,M,56,Central,52,Central,Science,52,Sci&Tech,Mkt&HR,59.43
5,Rick Hansen,M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,Mkt&Fin,55.5
6,Jim Mitchum,M,55,Others,49.8,Others,Science,67.25,Sci&Tech,Mkt&Fin,51.58
7,Toby Swindell,F,46,Others,49.2,Others,Commerce,79,Comm&Mgmt,Mkt&Fin,53.29
8,Mick Brown,M,82,Central,64,Central,Science,66,Sci&Tech,Mkt&Fin,62.14
9,Jane Waco,M,73,Central,79,Central,Commerce,72,Comm&Mgmt,Mkt&Fin,61.29
10,Joseph Holt,M,58,Central,70,Central,Commerce,61,Comm&Mgmt,Mkt&Fin,52.21
11,Greg Maxwell,M,58,Central,61,Central,Commerce,60,Comm&Mgmt,Mkt&HR,60.85
12,Anthony Jacobs,M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,Mkt&Fin,63.7
13,Magdelene Morse,F,47,Central,55,Others,Science,65,Comm&Mgmt,Mkt&HR,65.04
14,Vicky Freymann,F,77,Central,87,Central,Commerce,59,Comm&Mgmt,Mkt&Fin,68.63
15,Peter Fuller,M,62,Central,47,Central,Commerce,50,Comm&Mgmt,Mkt&HR,54.96
16,Ben Peterman,F,65,Central,75,Central,Commerce,69,Comm&Mgmt,Mkt&Fin,64.66
17,Thomas Boland,M,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Mkt&Fin,62.54
18,Patrick Jones,F,55,Central,67,Central,Commerce,64,Comm&Mgmt,Mkt&Fin,67.28
19,Jim Sink,F,63,Central,66,Central,Commerce,64,Comm&Mgmt,Mkt&HR,64.08
20,Ritsa Hightower,M,60,Others,67,Others,Arts,70,Comm&Mgmt,Mkt&Fin,77.89
21,Ann Blume,M,62,Others,65,Others,Commerce,66,Comm&Mgmt,Mkt&HR,56.7
22,Sue Ann Reed,F,79,Others,76,Others,Commerce,85,Comm&Mgmt,Mkt&Fin,69.06
23,Jason Klamczynski,F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,Mkt&HR,68.81
24,Laurel Beltran,F,77.4,Others,60,Others,Science,64.74,Sci&Tech,Mkt&Fin,63.62
25,Naresj Patel,M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,Mkt&Fin,74.01
26,Valerie Dominguez,F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Mkt&Fin,65.33
27,Phillip Breyer,M,71,Others,79,Others,Commerce,66,Comm&Mgmt,Mkt&Fin,57.55
28,Eugene Barchas,M,63,Others,67,Others,Commerce,66,Comm&Mgmt,Mkt&HR,57.69
29,Karen Ferguson,M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,Mkt&Fin,64.15
30,Benjamin Patterson,M,62,Central,67,Central,Commerce,58,Comm&Mgmt,Mkt&Fin,51.29
31,Rick Reed,F,64,Central,73.5,Central,Commerce,73,Comm&Mgmt,Mkt&HR,56.7
32,Bill Shonely,F,67,Central,53,Central,Science,65,Sci&Tech,Mkt&HR,58.32
33,Joel Eaton,F,61,Central,81,Central,Commerce,66.4,Comm&Mgmt,Mkt&HR,62.21
34,Dave Poirier,F,87,Others,65,Others,Science,81,Comm&Mgmt,Mkt&Fin,72.78
35,Nora Preis,M,62,Others,51,Others,Science,52,Others,Mkt&HR,62.77
36,Aaron Hawkins,F,69,Central,78,Central,Commerce,72,Comm&Mgmt,Mkt&HR,62.74
37,Darrin Martin,M,51,Central,44,Central,Commerce,57,Comm&Mgmt,Mkt&Fin,51.45
38,Grant Thornton,F,79,Central,76,Central,Science,65.6,Sci&Tech,Mkt&HR,55.47
39,Patrick O'Donnell,F,73,Others,58,Others,Science,66,Comm&Mgmt,Mkt&HR,56.86
40,Dan Lawera,M,81,Others,68,Others,Science,64,Sci&Tech,Mkt&Fin,62.56
41,Joy Bell-,F,78,Central,77,Others,Commerce,80,Comm&Mgmt,Mkt&Fin,66.72
42,Barry Franz,F,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,Mkt&HR,69.76
43,Vivek Grady,M,49,Others,39,Central,Science,65,Others,Mkt&Fin,51.21
44,Greg Tran,M,87,Others,87,Others,Commerce,68,Comm&Mgmt,Mkt&HR,62.9
45,Zuschuss Carroll,F,77,Others,73,Others,Commerce,81,Comm&Mgmt,Mkt&Fin,69.7
46,Sanjit Chand,F,76,Central,64,Central,Science,72,Sci&Tech,Mkt&HR,66.53
47,Ellis Ballard,F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,Mkt&HR,71.63
48,Arthur Prichep,M,63,Central,60,Central,Commerce,57,Comm&Mgmt,Mkt&Fin,54.55
49,Scott Williamson,M,63,Others,62,Others,Commerce,68,Comm&Mgmt,Mkt&Fin,62.46
50,John Huston,F,50,Others,37,Others,Arts,52,Others,Mkt&HR,56.11
51,Lena Creighton,F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,Mkt&HR,62.98
52,Trudy Glocke,M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,Mkt&HR,62.65
53,Harold Ryan,F,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,Mkt&HR,65.49
54,Phillip Breyer,M,80,Others,70,Others,Science,72,Sci&Tech,Mkt&HR,71.04
55,Deirdre Greer,F,74,Central,60,Others,Science,69,Comm&Mgmt,Mkt&HR,65.56
56,Sheri Gordon,M,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,Mkt&HR,52.71
57,Fred Hopkins,M,63,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,Mkt&Fin,66.88
58,Guy Phonely,M,68,Central,76,Central,Commerce,74,Comm&Mgmt,Mkt&Fin,63.59
59,Mitch Webber,M,74,Central,62,Others,Science,68,Comm&Mgmt,Mkt&Fin,57.99
60,Patrick O'Brill,M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,Mkt&Fin,56.66
61,Chuck Sachs,M,74,Central,70,Central,Science,72,Comm&Mgmt,Mkt&Fin,57.24
62,Keith Dawkins,M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,Mkt&Fin,62.48
63,Michael Stewart,F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,Mkt&Fin,59.69
64,Kimberly Carter,M,61,Others,70,Others,Commerce,64,Comm&Mgmt,Mkt&HR,59.5
65,Denny Blanton,M,80,Others,73,Others,Commerce,75,Comm&Mgmt,Mkt&Fin,58.78
66,Jonathan Doherty,M,54,Others,47,Others,Science,57,Comm&Mgmt,Mkt&HR,57.1
67,Dave Kipp,M,83,Others,74,Others,Science,66,Comm&Mgmt,Mkt&HR,58.46
68,Cari Sayre,M,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,Mkt&Fin,60.99
69,Evan Minnotte,F,69.7,Central,47,Central,Commerce,72.7,Sci&Tech,Mkt&HR,59.24
70,Dianna Wilson,M,73,Central,73,Central,Science,66,Sci&Tech,Mkt&Fin,68.07
71,Alan Schoenberger,M,82,Others,61,Others,Science,62,Sci&Tech,Mkt&Fin,65.45
72,Shui Tom,M,75,Others,70.29,Others,Commerce,71,Comm&Mgmt,Mkt&Fin,66.94
73,Barry Weirich,M,84.86,Others,67,Others,Science,78,Comm&Mgmt,Mkt&Fin,68.53
74,Laura Armstrong,M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,Mkt&Fin,59.75
75,Aimee Bixby,M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,Mkt&Fin,67.2
76,John Huston,F,59,Central,62,Others,Commerce,77.5,Comm&Mgmt,Mkt&HR,67
77,Christopher Martinez,F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,Mkt&Fin,64.27
78,Bobby Elias,M,64,Others,80,Others,Science,65,Sci&Tech,Mkt&Fin,57.65
79,Sam Zeldin,M,84,Others,90.9,Others,Science,64.5,Sci&Tech,Mkt&Fin,59.42
80,Raymond Messe,F,69,Central,62,Central,Science,66,Sci&Tech,Mkt&HR,67.99
81,Harry Greene,F,69,Others,62,Others,Commerce,69,Comm&Mgmt,Mkt&HR,62.35
82,Dave Poirier,M,81.7,Others,63,Others,Science,67,Comm&Mgmt,Mkt&Fin,70.2
83,Andy Reiter,M,63,Central,67,Central,Commerce,74,Comm&Mgmt,Mkt&Fin,60.44
84,Tom Prescott,M,84,Others,79,Others,Science,68,Sci&Tech,Mkt&Fin,66.69
85,Joy Bell-,M,70,Central,63,Others,Science,70,Sci&Tech,Mkt&Fin,62
86,Anne McFarland,F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,Mkt&Fin,76.18
87,Alejandro Ballentine,M,62,Others,63,Others,Commerce,64,Comm&Mgmt,Mkt&Fin,57.03
88,Rachel Payne,M,59.6,Central,51,Central,Science,60,Others,Mkt&HR,59.08
89,Berenike Kampe,F,66,Central,62,Central,Commerce,73,Comm&Mgmt,Mkt&HR,64.36
90,Janet Martin,F,84,Others,75,Others,Science,69,Sci&Tech,Mkt&HR,62.36
91,Guy Phonely,F,85,Others,90,Others,Commerce,82,Comm&Mgmt,Mkt&Fin,68.03
92,Lindsay Williams,M,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,Mkt&HR,62.79
93,Nick Zandusky,F,60.23,Central,69,Central,Science,66,Comm&Mgmt,Mkt&Fin,59.47
94,Stuart Van,M,52,Central,62,Central,Commerce,54,Comm&Mgmt,Mkt&HR,55.41
95,Steve Chapman,M,58,Central,62,Central,Commerce,64,Comm&Mgmt,Mkt&Fin,54.97
96,Noah Childs,M,73,Central,78,Others,Commerce,65,Comm&Mgmt,Mkt&Fin,62.16
97,Natalie Fritzler,F,76,Central,70,Central,Science,76,Comm&Mgmt,Mkt&Fin,64.44
98,Nick Zandusky,F,70.5,Central,62.5,Others,Commerce,61,Comm&Mgmt,Mkt&Fin,69.03
99,Paul MacIntyre,F,69,Central,73,Central,Commerce,65,Comm&Mgmt,Mkt&Fin,57.31
100,Maria Zettner,M,54,Central,82,Others,Commerce,63,Sci&Tech,Mkt&Fin,59.47
101,Henry MacAllister,F,45,Others,57,Others,Commerce,58,Comm&Mgmt,Mkt&HR,64.95
102,Rick Wilson,M,63,Central,72,Central,Commerce,68,Comm&Mgmt,Mkt&HR,60.44
103,Logan Haushalter,F,77,Others,61,Others,Commerce,68,Comm&Mgmt,Mkt&Fin,61.31
104,Fred Hopkins,M,73,Central,78,Central,Science,73,Sci&Tech,Mkt&HR,65.83
